Title,Year of Release,RT Scores,Adjusted score,Critics consensus,Synopsis,Cast,Director
X2: X-Men United,2003,85,92.172,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","When a failed assassination attempt occurs on the President's (Cotter Smith) life by the teleporting mutant Nightcrawler (Alan Cumming), it's... [More]","Hugh Jackman, Ian McKellen, Halle Berry, Famke Jansse",an Sing
The Fugitive,1993,96,101.929,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.",This 1993 box-office smash partly adheres to the 1960s TV series on which it is based and partly goes off... [More],"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",Andrew Davis
Black Panther,2018,97,119.329,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"""Black Panther"" follows T'Challa who, after the events of ""Captain America: Civil War,"" returns home to the isolated, technologically advanced... [More]","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gu",Ryan Coogl
Inception,2010,87,97.935,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.","Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who... [More]","Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard",Christopher Nolan
Braveheart,1995,77,81.938,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.","Mel Gibson, long-time heartthrob of the silver screen, came into his own as a director with Braveheart, an account of... [More]","Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Mel Gibson
Minority Report,2002,90,97.346,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.","Based on a short story by the late Philip K. Dick, this science fiction-thriller reflects the writer's familiar preoccupation with... [More]","Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",Steven Spielberg
Avengers: Endgame,2019,94,117.364,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers... [More],"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans","Joe Russo, Anthony Russo"
Dredd,2012,79,84.603,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.","The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega... [More]","Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey",Pete Travis
The Bourne Identity,2002,83,88.284,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.","The best-selling suspense novel by late author Robert Ludlum comes to the screen for a second time, following a 1988... [More]","Matt Damon, Franka Potente, Chris Cooper, Clive Owe",oug Liman
Ip Man,2010,85,77.814,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.","Wing Chun grandmaster Ip has an amazing wife, plenty of money, the most beautiful house in town, and a blossoming... [More]","Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dail",Wilson Yip
Face/Off,1997,92,97.197,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.","The third of John Woo's American-made feature films, Face/Off stars John Travolta as Sean Archer, an FBI agent obsessed with... [More]","John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivol",John Woo
To Live and Die in L.A.,1985,91,92.942,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.","William Friedkin's crime thriller, based on a book by U.S. Secret Service agent Gerald Petievich, concerns an arrogant Secret Service... [More]","William L. Petersen, Willem Dafoe, John Pankow, Debra Feue","William Friedkin, William Freidkin"
The Dark Knight,2008,94,107.22,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming... [More]","Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal",Christopher Nolan
Mission: Impossible Ghost Protocol,2011,93,100.597,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",This is not just another mission. The IMF is shut down when it's implicated in a global terrorist bombing plot.... [More],"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patto",a
Fast Five,2011,77,82.954,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law.... [More],"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnso",Justin Lin
Lethal Weapon,1987,82,86.245,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.","L.A. cop Martin Riggs (Mel Gibson), whose wife has recently died, is a loose cannon with a seeming death wish.... [More]","Mel Gibson, Danny Glover, Gary Busey, Darlene Love",Richard Donn
